event	left_node	right_node	hgt_id	left_date	right_date	midpoint_date
spe	644	636	NA	2211.125	2146.87	2178.9975
hgt origin	636	GCA.002840095.1.Bacteria.Proteobacteria	1: GCA.002840095.1.Bacteria.Proteobacteria to dead	2146.87	0.0	1073.435
hgt	None	dead	1: GCA.002840095.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	2: dead to GCF.002958735.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	565	GCF.002958735.1.Bacteria.Proteobacteria	2: dead to GCF.002958735.1.Bacteria.Proteobacteria	2067.745	0.0	1033.8725
los	None	dead	NA	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	3: dead to GCA.002085445.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	603	GCA.002085445.1.Bacteria.Proteobacteria	3: dead to GCA.002085445.1.Bacteria.Proteobacteria	2200.665	0.0	1100.3325
los	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	4: dead to GCF.002109495.1.Bacteria.Proteobacteria	0.0	0.0	0.0
hgt	519	GCF.002109495.1.Bacteria.Proteobacteria	4: dead to GCF.002109495.1.Bacteria.Proteobacteria	2801.035	0.0	1400.5175
los	None	dead	NA	0.0	0.0	0.0
spe	636	634	NA	2146.87	2007.49	2077.18
hgt origin	634	GCF.001697225.1.Bacteria.Proteobacteria	5: GCF.001697225.1.Bacteria.Proteobacteria to dead	2007.49	0.0	1003.745
hgt	None	dead	5: GCF.001697225.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
hgt origin	634	GCF.001697225.1.Bacteria.Proteobacteria	6: GCF.001697225.1.Bacteria.Proteobacteria to dead	2007.49	0.0	1003.745
hgt	None	dead	6: GCF.001697225.1.Bacteria.Proteobacteria to dead	0.0	0.0	0.0
dup	None	dead	NA	0.0	0.0	0.0
hgt origin	None	dead	7: dead to GCF.900142435.1.Bacteria.Aquificota	0.0	0.0	0.0
